ID,最近一次消費天數,最近一次消費天數_級距,最近一次消費天數_組數,消費頻率,消費頻率_級距,消費頻率_組數,消費金額,消費金額_級距,消費金額_組數,cluster
13,479,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
14,269,'\'(215.5-313.5]\'','\'B3of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',374,'\'(354.5-712.5]\'','\'B4of5\'',cluster2
15,345,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',1551,'\'(712.5-inf)\'','\'B5of5\'',cluster2
16,449,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
17,476,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
18,416,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
19,31,'\'(-inf-97.5]\'','\'B1of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',234,'\'(135.5-354.5]\'','\'B3of5\'',cluster5
20,10,'\'(-inf-97.5]\'','\'B1of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',411,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
21,109,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',119,'\'(16.5-135.5]\'','\'B2of5\'',cluster5
22,364,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',810,'\'(712.5-inf)\'','\'B5of5\'',cluster2
23,191,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',99,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
24,150,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',76,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
25,449,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
26,451,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
