ID,最近一次消費天數,最近一次消費天數_級距,最近一次消費天數_組數,消費頻率,消費頻率_級距,消費頻率_組數,消費金額,消費金額_級距,消費金額_組數,cluster
93,456,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
94,142,'\'(97.5-215.5]\'','\'B2of5\'',32,'\'(3.5-inf)\'','\'B5of5\'',6531,'\'(712.5-inf)\'','\'B5of5\'',cluster3
95,261,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',262,'\'(135.5-354.5]\'','\'B3of5\'',cluster2
96,365,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',70,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
97,297,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',80,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
98,326,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',477,'\'(354.5-712.5]\'','\'B4of5\'',cluster2
99,473,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
100,438,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
101,78,'\'(-inf-97.5]\'','\'B1of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',559,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
102,77,'\'(-inf-97.5]\'','\'B1of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',512,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
103,105,'\'(97.5-215.5]\'','\'B2of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',195,'\'(135.5-354.5]\'','\'B3of5\'',cluster5
104,130,'\'(97.5-215.5]\'','\'B2of5\'',4,'\'(3.5-inf)\'','\'B5of5\'',168,'\'(135.5-354.5]\'','\'B3of5\'',cluster5
105,480,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
106,275,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',150,'\'(135.5-354.5]\'','\'B3of5\'',cluster2
107,472,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
108,129,'\'(97.5-215.5]\'','\'B2of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',649,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
109,7,'\'(-inf-97.5]\'','\'B1of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',1473,'\'(712.5-inf)\'','\'B5of5\'',cluster5
110,164,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',149,'\'(135.5-354.5]\'','\'B3of5\'',cluster1
111,409,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
112,17,'\'(-inf-97.5]\'','\'B1of5\'',9,'\'(3.5-inf)\'','\'B5of5\'',2142,'\'(712.5-inf)\'','\'B5of5\'',cluster5
113,211,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',173,'\'(135.5-354.5]\'','\'B3of5\'',cluster1
114,197,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',852,'\'(712.5-inf)\'','\'B5of5\'',cluster1
115,438,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
116,156,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',947,'\'(712.5-inf)\'','\'B5of5\'',cluster1
117,176,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',454,'\'(354.5-712.5]\'','\'B4of5\'',cluster1
118,140,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',105,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
119,280,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',87,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
120,237,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',217,'\'(135.5-354.5]\'','\'B3of5\'',cluster1
121,438,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
122,205,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',112,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
123,42,'\'(-inf-97.5]\'','\'B1of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',373,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
124,85,'\'(-inf-97.5]\'','\'B1of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',185,'\'(135.5-354.5]\'','\'B3of5\'',cluster5
125,121,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',109,'\'(16.5-135.5]\'','\'B2of5\'',cluster5
126,185,'\'(97.5-215.5]\'','\'B2of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',519,'\'(354.5-712.5]\'','\'B4of5\'',cluster1
127,177,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',128,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
128,478,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
129,327,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',59,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
130,249,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',157,'\'(135.5-354.5]\'','\'B3of5\'',cluster1
131,382,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
132,368,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',103,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
133,88,'\'(-inf-97.5]\'','\'B1of5\'',4,'\'(3.5-inf)\'','\'B5of5\'',1081,'\'(712.5-inf)\'','\'B5of5\'',cluster5
134,50,'\'(-inf-97.5]\'','\'B1of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',277,'\'(135.5-354.5]\'','\'B3of5\'',cluster5
135,403,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
136,442,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
137,168,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',374,'\'(354.5-712.5]\'','\'B4of5\'',cluster1
138,15,'\'(-inf-97.5]\'','\'B1of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',471,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
139,484,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
140,205,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',149,'\'(135.5-354.5]\'','\'B3of5\'',cluster1
141,375,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
142,407,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
143,23,'\'(-inf-97.5]\'','\'B1of5\'',9,'\'(3.5-inf)\'','\'B5of5\'',1699,'\'(712.5-inf)\'','\'B5of5\'',cluster5
144,472,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
145,66,'\'(-inf-97.5]\'','\'B1of5\'',7,'\'(3.5-inf)\'','\'B5of5\'',3716,'\'(712.5-inf)\'','\'B5of5\'',cluster3
146,380,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
147,241,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',175,'\'(135.5-354.5]\'','\'B3of5\'',cluster1
148,143,'\'(97.5-215.5]\'','\'B2of5\'',6,'\'(3.5-inf)\'','\'B5of5\'',923,'\'(712.5-inf)\'','\'B5of5\'',cluster5
149,396,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
150,345,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',401,'\'(354.5-712.5]\'','\'B4of5\'',cluster2
151,86,'\'(-inf-97.5]\'','\'B1of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',350,'\'(135.5-354.5]\'','\'B3of5\'',cluster5
152,449,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
153,338,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',426,'\'(354.5-712.5]\'','\'B4of5\'',cluster2
154,467,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
155,207,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',66,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
156,312,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',136,'\'(135.5-354.5]\'','\'B3of5\'',cluster2
157,283,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',121,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
158,344,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',33,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
159,480,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
160,9,'\'(-inf-97.5]\'','\'B1of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',35,'\'(16.5-135.5]\'','\'B2of5\'',cluster5
161,317,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',157,'\'(135.5-354.5]\'','\'B3of5\'',cluster2
162,158,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',48,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
163,52,'\'(-inf-97.5]\'','\'B1of5\'',21,'\'(3.5-inf)\'','\'B5of5\'',4309,'\'(712.5-inf)\'','\'B5of5\'',cluster3
164,244,'\'(215.5-313.5]\'','\'B3of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',1159,'\'(712.5-inf)\'','\'B5of5\'',cluster1
165,290,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',1914,'\'(712.5-inf)\'','\'B5of5\'',cluster2
166,51,'\'(-inf-97.5]\'','\'B1of5\'',6,'\'(3.5-inf)\'','\'B5of5\'',966,'\'(712.5-inf)\'','\'B5of5\'',cluster5
167,304,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',157,'\'(135.5-354.5]\'','\'B3of5\'',cluster2
168,459,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
169,464,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
170,91,'\'(-inf-97.5]\'','\'B1of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',705,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
171,444,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
172,88,'\'(-inf-97.5]\'','\'B1of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',880,'\'(712.5-inf)\'','\'B5of5\'',cluster5
173,312,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',141,'\'(135.5-354.5]\'','\'B3of5\'',cluster2
174,376,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
175,262,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',390,'\'(354.5-712.5]\'','\'B4of5\'',cluster2
176,294,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',118,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
177,59,'\'(-inf-97.5]\'','\'B1of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',134,'\'(16.5-135.5]\'','\'B2of5\'',cluster5
178,225,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',175,'\'(135.5-354.5]\'','\'B3of5\'',cluster1
179,177,'\'(97.5-215.5]\'','\'B2of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',574,'\'(354.5-712.5]\'','\'B4of5\'',cluster1
180,469,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
181,465,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
182,473,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
183,479,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
184,360,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',142,'\'(135.5-354.5]\'','\'B3of5\'',cluster2
185,421,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
186,172,'\'(97.5-215.5]\'','\'B2of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',618,'\'(354.5-712.5]\'','\'B4of5\'',cluster1
187,315,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',112,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
188,14,'\'(-inf-97.5]\'','\'B1of5\'',9,'\'(3.5-inf)\'','\'B5of5\'',2994,'\'(712.5-inf)\'','\'B5of5\'',cluster3
189,213,'\'(97.5-215.5]\'','\'B2of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',813,'\'(712.5-inf)\'','\'B5of5\'',cluster1
190,46,'\'(-inf-97.5]\'','\'B1of5\'',18,'\'(3.5-inf)\'','\'B5of5\'',6363,'\'(712.5-inf)\'','\'B5of5\'',cluster3
191,374,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
192,198,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',84,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
193,423,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
194,62,'\'(-inf-97.5]\'','\'B1of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',359,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
195,452,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
196,305,'\'(215.5-313.5]\'','\'B3of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster2
197,378,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
198,262,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',159,'\'(135.5-354.5]\'','\'B3of5\'',cluster2
199,213,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',167,'\'(135.5-354.5]\'','\'B3of5\'',cluster1
200,197,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',113,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
